vélo;utilisateur;depart;heure départ;arrivée;heure arrivée
0;None;None;None;102;2010-01-01T10:00:00
1;None;None;None;39;2010-01-01T10:00:00
2;None;None;None;50;2010-01-01T10:00:00
3;None;None;None;16;2010-01-01T10:00:00
4;None;None;None;32;2010-01-01T10:00:00
5;None;None;None;77;2010-01-01T10:00:00
6;None;None;None;88;2010-01-01T10:00:00
7;None;None;None;33;2010-01-01T10:00:00
8;None;None;None;157;2010-01-01T10:00:00
9;None;None;None;137;2010-01-01T10:00:00
10;None;None;None;5;2010-01-01T10:00:00
11;None;None;None;158;2010-01-01T10:00:00
12;None;None;None;25;2010-01-01T10:00:00
13;None;None;None;77;2010-01-01T10:00:00
14;None;None;None;113;2010-01-01T10:00:00
15;None;None;None;64;2010-01-01T10:00:00
16;None;None;None;111;2010-01-01T10:00:00
17;None;None;None;107;2010-01-01T10:00:00
18;None;None;None;178;2010-01-01T10:00:00
19;None;None;None;42;2010-01-01T10:00:00
20;None;None;None;87;2010-01-01T10:00:00
21;None;None;None;167;2010-01-01T10:00:00
22;None;None;None;88;2010-01-01T10:00:00
23;None;None;None;52;2010-01-01T10:00:00
24;None;None;None;15;2010-01-01T10:00:00
25;None;None;None;63;2010-01-01T10:00:00
26;None;None;None;32;2010-01-01T10:00:00
27;None;None;None;56;2010-01-01T10:00:00
28;None;None;None;172;2010-01-01T10:00:00
29;None;None;None;178;2010-01-01T10:00:00
30;None;None;None;120;2010-01-01T10:00:00
31;None;None;None;6;2010-01-01T10:00:00
32;None;None;None;64;2010-01-01T10:00:00
33;None;None;None;171;2010-01-01T10:00:00
34;None;None;None;69;2010-01-01T10:00:00
35;None;None;None;120;2010-01-01T10:00:00
36;None;None;None;27;2010-01-01T10:00:00
37;None;None;None;171;2010-01-01T10:00:00
38;None;None;None;110;2010-01-01T10:00:00
39;None;None;None;56;2010-01-01T10:00:00
40;None;None;None;85;2010-01-01T10:00:00
41;None;None;None;12;2010-01-01T10:00:00
42;None;None;None;89;2010-01-01T10:00:00
43;None;None;None;36;2010-01-01T10:00:00
44;None;None;None;46;2010-01-01T10:00:00
45;None;None;None;167;2010-01-01T10:00:00
46;None;None;None;106;2010-01-01T10:00:00
47;None;None;None;100;2010-01-01T10:00:00
48;None;None;None;13;2010-01-01T10:00:00
49;None;None;None;40;2010-01-01T10:00:00
50;None;None;None;64;2010-01-01T10:00:00
51;None;None;None;91;2010-01-01T10:00:00
52;None;None;None;72;2010-01-01T10:00:00
53;None;None;None;166;2010-01-01T10:00:00
54;None;None;None;119;2010-01-01T10:00:00
55;None;None;None;28;2010-01-01T10:00:00
56;None;None;None;71;2010-01-01T10:00:00
57;None;None;None;163;2010-01-01T10:00:00
58;None;None;None;15;2010-01-01T10:00:00
59;None;None;None;65;2010-01-01T10:00:00
60;None;None;None;123;2010-01-01T10:00:00
61;None;None;None;130;2010-01-01T10:00:00
62;None;None;None;88;2010-01-01T10:00:00
63;None;None;None;154;2010-01-01T10:00:00
64;None;None;None;45;2010-01-01T10:00:00
65;None;None;None;36;2010-01-01T10:00:00
66;None;None;None;168;2010-01-01T10:00:00
67;None;None;None;15;2010-01-01T10:00:00
68;None;None;None;107;2010-01-01T10:00:00
69;None;None;None;133;2010-01-01T10:00:00
70;None;None;None;56;2010-01-01T10:00:00
71;None;None;None;56;2010-01-01T10:00:00
72;None;None;None;124;2010-01-01T10:00:00
73;None;None;None;61;2010-01-01T10:00:00
74;None;None;None;5;2010-01-01T10:00:00
75;None;None;None;113;2010-01-01T10:00:00
76;None;None;None;110;2010-01-01T10:00:00
77;None;None;None;148;2010-01-01T10:00:00
78;None;None;None;98;2010-01-01T10:00:00
79;None;None;None;111;2010-01-01T10:00:00
80;None;None;None;129;2010-01-01T10:00:00
81;None;None;None;24;2010-01-01T10:00:00
82;None;None;None;137;2010-01-01T10:00:00
83;None;None;None;110;2010-01-01T10:00:00
84;None;None;None;58;2010-01-01T10:00:00
85;None;None;None;88;2010-01-01T10:00:00
86;None;None;None;28;2010-01-01T10:00:00
87;None;None;None;75;2010-01-01T10:00:00
88;None;None;None;144;2010-01-01T10:00:00
89;None;None;None;115;2010-01-01T10:00:00
90;None;None;None;89;2010-01-01T10:00:00
91;None;None;None;42;2010-01-01T10:00:00
92;None;None;None;151;2010-01-01T10:00:00
93;None;None;None;118;2010-01-01T10:00:00
94;None;None;None;27;2010-01-01T10:00:00
95;None;None;None;91;2010-01-01T10:00:00
96;None;None;None;113;2010-01-01T10:00:00
97;None;None;None;156;2010-01-01T10:00:00
98;None;None;None;131;2010-01-01T10:00:00
99;None;None;None;150;2010-01-01T10:00:00
100;None;None;None;153;2010-01-01T10:00:00
101;None;None;None;127;2010-01-01T10:00:00
102;None;None;None;91;2010-01-01T10:00:00
103;None;None;None;58;2010-01-01T10:00:00
104;None;None;None;127;2010-01-01T10:00:00
105;None;None;None;153;2010-01-01T10:00:00
106;None;None;None;54;2010-01-01T10:00:00
107;None;None;None;80;2010-01-01T10:00:00
108;None;None;None;33;2010-01-01T10:00:00
109;None;None;None;62;2010-01-01T10:00:00
110;None;None;None;70;2010-01-01T10:00:00
111;None;None;None;47;2010-01-01T10:00:00
112;None;None;None;57;2010-01-01T10:00:00
113;None;None;None;59;2010-01-01T10:00:00
114;None;None;None;97;2010-01-01T10:00:00
115;None;None;None;18;2010-01-01T10:00:00
116;None;None;None;44;2010-01-01T10:00:00
117;None;None;None;124;2010-01-01T10:00:00
118;None;None;None;103;2010-01-01T10:00:00
119;None;None;None;44;2010-01-01T10:00:00
120;None;None;None;27;2010-01-01T10:00:00
121;None;None;None;60;2010-01-01T10:00:00
122;None;None;None;70;2010-01-01T10:00:00
123;None;None;None;36;2010-01-01T10:00:00
124;None;None;None;161;2010-01-01T10:00:00
125;None;None;None;77;2010-01-01T10:00:00
126;None;None;None;125;2010-01-01T10:00:00
127;None;None;None;93;2010-01-01T10:00:00
128;None;None;None;40;2010-01-01T10:00:00
129;None;None;None;59;2010-01-01T10:00:00
130;None;None;None;111;2010-01-01T10:00:00
131;None;None;None;54;2010-01-01T10:00:00
132;None;None;None;67;2010-01-01T10:00:00
133;None;None;None;122;2010-01-01T10:00:00
134;None;None;None;167;2010-01-01T10:00:00
135;None;None;None;141;2010-01-01T10:00:00
136;None;None;None;8;2010-01-01T10:00:00
137;None;None;None;71;2010-01-01T10:00:00
138;None;None;None;60;2010-01-01T10:00:00
139;None;None;None;135;2010-01-01T10:00:00
140;None;None;None;68;2010-01-01T10:00:00
141;None;None;None;28;2010-01-01T10:00:00
142;None;None;None;108;2010-01-01T10:00:00
143;None;None;None;169;2010-01-01T10:00:00
144;None;None;None;157;2010-01-01T10:00:00
145;None;None;None;167;2010-01-01T10:00:00
146;None;None;None;26;2010-01-01T10:00:00
147;None;None;None;75;2010-01-01T10:00:00
148;None;None;None;3;2010-01-01T10:00:00
149;None;None;None;23;2010-01-01T10:00:00
150;None;None;None;124;2010-01-01T10:00:00
151;None;None;None;140;2010-01-01T10:00:00
152;None;None;None;31;2010-01-01T10:00:00
153;None;None;None;54;2010-01-01T10:00:00
154;None;None;None;108;2010-01-01T10:00:00
155;None;None;None;2;2010-01-01T10:00:00
156;None;None;None;53;2010-01-01T10:00:00
157;None;None;None;158;2010-01-01T10:00:00
158;None;None;None;88;2010-01-01T10:00:00
159;None;None;None;66;2010-01-01T10:00:00
160;None;None;None;62;2010-01-01T10:00:00
161;None;None;None;31;2010-01-01T10:00:00
162;None;None;None;67;2010-01-01T10:00:00
163;None;None;None;65;2010-01-01T10:00:00
164;None;None;None;88;2010-01-01T10:00:00
165;None;None;None;36;2010-01-01T10:00:00
166;None;None;None;176;2010-01-01T10:00:00
167;None;None;None;19;2010-01-01T10:00:00
168;None;None;None;141;2010-01-01T10:00:00
169;None;None;None;1;2010-01-01T10:00:00
170;None;None;None;42;2010-01-01T10:00:00
171;None;None;None;101;2010-01-01T10:00:00
172;None;None;None;154;2010-01-01T10:00:00
173;None;None;None;177;2010-01-01T10:00:00
174;None;None;None;165;2010-01-01T10:00:00
175;None;None;None;59;2010-01-01T10:00:00
176;None;None;None;142;2010-01-01T10:00:00
177;None;None;None;128;2010-01-01T10:00:00
178;None;None;None;132;2010-01-01T10:00:00
179;None;None;None;147;2010-01-01T10:00:00
180;None;None;None;86;2010-01-01T10:00:00
181;None;None;None;137;2010-01-01T10:00:00
182;None;None;None;5;2010-01-01T10:00:00
183;None;None;None;116;2010-01-01T10:00:00
184;None;None;None;143;2010-01-01T10:00:00
185;None;None;None;137;2010-01-01T10:00:00
186;None;None;None;154;2010-01-01T10:00:00
187;None;None;None;6;2010-01-01T10:00:00
188;None;None;None;61;2010-01-01T10:00:00
189;None;None;None;89;2010-01-01T10:00:00
190;None;None;None;32;2010-01-01T10:00:00
191;None;None;None;134;2010-01-01T10:00:00
192;None;None;None;121;2010-01-01T10:00:00
193;None;None;None;177;2010-01-01T10:00:00
194;None;None;None;89;2010-01-01T10:00:00
195;None;None;None;147;2010-01-01T10:00:00
196;None;None;None;98;2010-01-01T10:00:00
197;None;None;None;157;2010-01-01T10:00:00
198;None;None;None;14;2010-01-01T10:00:00
199;None;None;None;21;2010-01-01T10:00:00
200;None;None;None;100;2010-01-01T10:00:00
201;None;None;None;4;2010-01-01T10:00:00
202;None;None;None;135;2010-01-01T10:00:00
203;None;None;None;20;2010-01-01T10:00:00
204;None;None;None;130;2010-01-01T10:00:00
205;None;None;None;42;2010-01-01T10:00:00
206;None;None;None;104;2010-01-01T10:00:00
207;None;None;None;67;2010-01-01T10:00:00
208;None;None;None;133;2010-01-01T10:00:00
209;None;None;None;76;2010-01-01T10:00:00
210;None;None;None;68;2010-01-01T10:00:00
211;None;None;None;135;2010-01-01T10:00:00
212;None;None;None;86;2010-01-01T10:00:00
213;None;None;None;36;2010-01-01T10:00:00
214;None;None;None;15;2010-01-01T10:00:00
215;None;None;None;112;2010-01-01T10:00:00
216;None;None;None;79;2010-01-01T10:00:00
217;None;None;None;52;2010-01-01T10:00:00
218;None;None;None;103;2010-01-01T10:00:00
219;None;None;None;108;2010-01-01T10:00:00
220;None;None;None;79;2010-01-01T10:00:00
221;None;None;None;57;2010-01-01T10:00:00
222;None;None;None;34;2010-01-01T10:00:00
223;None;None;None;160;2010-01-01T10:00:00
224;None;None;None;95;2010-01-01T10:00:00
225;None;None;None;123;2010-01-01T10:00:00
226;None;None;None;86;2010-01-01T10:00:00
